zip,end_date,outbreak_id,outbreak_label,anchor_date,first_detection_date,days_since_anchor,days_since_first_detection,latest_pr_excess_gt0,latest_pr_excess_gt1,latest_pr_excess_gt2,latest_pr_ratio_gt_1_10,max_pr_excess_gt0_last7,max_pr_excess_gt1_last7,max_pr_excess_gt2_last7,max_pr_ratio_gt_1_10_last7,first_excess_gt0_90_date_last7,first_excess_gt2_80_date_last7,max_pr_rate_mult_gt_1_10,max_pr_rate_mult_gt_1_25,max_pr_abs_rate_change_gt_1_10,earliest_supported_ramp_10_date,n_divergent,n_tree_max
84010,2020-02-24,covid_2020,COVID-19,2020-03-15,2020-03-25,-20,-30,0.7066666666666667,0.0175,8.333333333333334e-4,0.5541666666666667,0.7066666666666667,0.0175,8.333333333333334e-4,0.5541666666666667,NA,NA,0.19583333333333333,0.11083333333333334,0.4,NA,4,0
84010,2020-02-25,covid_2020,COVID-19,2020-03-15,2020-03-25,-19,-29,0.48333333333333334,0.00166666666666666,0,0.3458333333333333,0.7291666666666666,0.01916666666666666,0,0.5825,NA,NA,0.18583333333333332,0.09583333333333334,0.3858333333333333,NA,2,0
84010,2020-02-26,covid_2020,COVID-19,2020-03-15,2020-03-25,-18,-28,0.5091666666666667,0.01,0.00166666666666666,0.37166666666666665,0.6991666666666667,0.01083333333333333,0.00166666666666666,0.5658333333333333,NA,NA,0.1825,0.09666666666666666,0.4,NA,3,0
84010,2020-02-27,covid_2020,COVID-19,2020-03-15,2020-03-25,-17,-27,0.5058333333333334,0.00166666666666666,0,0.36,0.7,0.00833333333333333,8.333333333333334e-4,0.5833333333333334,NA,NA,0.18416666666666667,0.09416666666666666,0.42,NA,21,0
84010,2020-02-28,covid_2020,COVID-19,2020-03-15,2020-03-25,-16,-26,0.5116666666666667,8.333333333333334e-4,0,0.35833333333333334,0.6916666666666667,0.00583333333333333,8.333333333333334e-4,0.5375,NA,NA,0.16583333333333333,0.08583333333333333,0.37916666666666665,NA,3,0
84010,2020-02-29,covid_2020,COVID-19,2020-03-15,2020-03-25,-15,-25,0.5116666666666667,8.333333333333334e-4,0,0.36916666666666664,0.6825,0.01,8.333333333333334e-4,0.5316666666666666,NA,NA,0.1683333333333333,0.08666666666666667,0.3858333333333333,NA,5,0
84010,2020-03-01,covid_2020,COVID-19,2020-03-15,2020-03-25,-14,-24,0.49666666666666665,0,0,0.35583333333333333,0.6808333333333333,0.00666666666666666,8.333333333333334e-4,0.545,NA,NA,0.185,0.09083333333333334,0.38166666666666665,NA,2,0
84010,2020-03-02,covid_2020,COVID-19,2020-03-15,2020-03-25,-13,-23,0.485,0.00416666666666666,0.00166666666666666,0.35833333333333334,0.515,0.00416666666666666,0.00166666666666666,0.3725,NA,NA,0.18166666666666667,0.09583333333333334,0.405,NA,7,0
84010,2020-03-03,covid_2020,COVID-19,2020-03-15,2020-03-25,-12,-22,0.49666666666666665,0.0025,0,0.3466666666666667,0.5183333333333333,0.00666666666666666,8.333333333333334e-4,0.3925,NA,NA,0.19,0.095,0.43,NA,9,0
84010,2020-03-04,covid_2020,COVID-19,2020-03-15,2020-03-25,-11,-21,0.4825,0.0025,0,0.3333333333333333,0.5066666666666667,0.0025,8.333333333333334e-4,0.37916666666666665,NA,NA,0.17833333333333334,0.09083333333333334,0.45166666666666666,NA,5,0
84010,2020-03-05,covid_2020,COVID-19,2020-03-15,2020-03-25,-10,-20,0.47833333333333333,8.333333333333334e-4,0,0.35,0.5008333333333334,0.00333333333333333,0,0.3775,NA,NA,0.18,0.095,0.43083333333333335,NA,1,0
84010,2020-03-06,covid_2020,COVID-19,2020-03-15,2020-03-25,-9,-19,0.4666666666666667,8.333333333333334e-4,0,0.3233333333333333,0.515,0.00333333333333333,8.333333333333334e-4,0.37416666666666665,NA,NA,0.18,0.09833333333333331,0.4008333333333333,NA,8,0
84010,2020-03-07,covid_2020,COVID-19,2020-03-15,2020-03-25,-8,-18,0.5016666666666667,8.333333333333334e-4,0,0.365,0.5166666666666667,0.00333333333333333,8.333333333333334e-4,0.38,NA,NA,0.1725,0.0875,0.4141666666666667,NA,4,0
84010,2020-03-08,covid_2020,COVID-19,2020-03-15,2020-03-25,-7,-17,0.485,0.00166666666666666,0,0.3458333333333333,0.49583333333333335,0.0025,0,0.36333333333333334,NA,NA,0.19583333333333333,0.10666666666666667,0.4225,NA,3,0
84010,2020-03-09,covid_2020,COVID-19,2020-03-15,2020-03-25,-6,-16,0.4791666666666667,0.00166666666666666,0,0.3475,0.49,0.00166666666666666,8.333333333333334e-4,0.35833333333333334,NA,NA,0.19083333333333333,0.09833333333333331,0.43,NA,1,0
84010,2020-03-10,covid_2020,COVID-19,2020-03-15,2020-03-25,-5,-15,0.49916666666666665,8.333333333333334e-4,0,0.3525,0.49916666666666665,0.00333333333333333,0.00166666666666666,0.35333333333333333,NA,NA,0.18833333333333332,0.0925,0.42833333333333334,NA,4,0
84010,2020-03-11,covid_2020,COVID-19,2020-03-15,2020-03-25,-4,-14,0.49416666666666664,0.00333333333333333,0,0.3575,0.49416666666666664,0.00333333333333333,8.333333333333334e-4,0.3675,NA,NA,0.19666666666666663,0.09333333333333334,0.43666666666666665,NA,4,0
84010,2020-03-12,covid_2020,COVID-19,2020-03-15,2020-03-25,-3,-13,0.4841666666666667,8.333333333333334e-4,0,0.335,0.495,0.00416666666666666,8.333333333333334e-4,0.36083333333333334,NA,NA,0.19,0.105,0.44666666666666666,NA,5,0
84010,2020-03-13,covid_2020,COVID-19,2020-03-15,2020-03-25,-2,-12,0.4975,0,0,0.3416666666666667,0.5008333333333334,0,0,0.3458333333333333,NA,NA,0.18916666666666668,0.10166666666666668,0.45416666666666666,NA,3,0
84010,2020-03-14,covid_2020,COVID-19,2020-03-15,2020-03-25,-1,-11,0.4891666666666667,0,0,0.34833333333333333,0.5008333333333334,0.00166666666666666,8.333333333333334e-4,0.3591666666666667,NA,NA,0.16916666666666666,0.08666666666666667,0.43333333333333335,NA,2,0
84010,2020-03-15,covid_2020,COVID-19,2020-03-15,2020-03-25,0,-10,0.48833333333333334,0.0025,0,0.3491666666666667,0.505,0.0025,8.333333333333334e-4,0.38083333333333336,NA,NA,0.17833333333333334,0.0925,0.44,NA,3,0
84010,2020-03-16,covid_2020,COVID-19,2020-03-15,2020-03-25,1,-9,0.48333333333333334,0.0025,0,0.3491666666666667,0.48833333333333334,0.0025,8.333333333333334e-4,0.35583333333333333,NA,NA,0.18083333333333337,0.1025,0.4741666666666667,NA,1,0
84010,2020-03-17,covid_2020,COVID-19,2020-03-15,2020-03-25,2,-8,0.7116666666666667,0.00583333333333333,0.00166666666666666,0.57,0.7116666666666667,0.00583333333333333,0.00166666666666666,0.57,NA,NA,0.17083333333333334,0.095,0.3983333333333333,NA,5,0
84010,2020-03-18,covid_2020,COVID-19,2020-03-15,2020-03-25,3,-7,0.4666666666666667,0.00416666666666666,0,0.3258333333333333,0.7066666666666667,0.00916666666666666,8.333333333333334e-4,0.5725,NA,NA,0.17916666666666667,0.0925,0.3958333333333333,NA,4,0
84010,2020-03-19,covid_2020,COVID-19,2020-03-15,2020-03-25,4,-6,0.5091666666666667,8.333333333333334e-4,0,0.3616666666666667,0.7066666666666667,0.005,8.333333333333334e-4,0.5675,NA,NA,0.18416666666666667,0.0925,0.39,NA,2,0
84010,2020-03-20,covid_2020,COVID-19,2020-03-15,2020-03-25,5,-5,0.6016666666666667,0.00333333333333333,0,0.44416666666666665,0.6866666666666666,0.00916666666666666,8.333333333333334e-4,0.5508333333333333,NA,NA,0.17583333333333334,0.09666666666666666,0.3625,NA,8,0
84010,2020-03-21,covid_2020,COVID-19,2020-03-15,2020-03-25,6,-4,0.5041666666666667,0.00166666666666666,8.333333333333334e-4,0.3616666666666667,0.7091666666666666,0.00916666666666666,8.333333333333334e-4,0.5808333333333333,NA,NA,0.19333333333333333,0.10333333333333332,0.395,NA,5,0
84010,2020-03-22,covid_2020,COVID-19,2020-03-15,2020-03-25,7,-3,0.4875,8.333333333333334e-4,8.333333333333334e-4,0.3416666666666667,0.7016666666666667,0.005,0.00166666666666666,0.5541666666666667,NA,NA,0.18583333333333332,0.09083333333333334,0.375,NA,6,0
84010,2020-03-23,covid_2020,COVID-19,2020-03-15,2020-03-25,8,-2,0.5975,0.00583333333333333,0,0.45916666666666667,0.7091666666666666,0.01166666666666666,8.333333333333334e-4,0.5683333333333334,NA,NA,0.17666666666666667,0.09833333333333331,0.4025,NA,2,0
84010,2020-03-24,covid_2020,COVID-19,2020-03-15,2020-03-25,9,-1,0.6041666666666666,0.00333333333333333,0,0.4675,0.6041666666666666,0.00666666666666666,8.333333333333334e-4,0.4708333333333333,NA,NA,0.21083333333333337,0.12416666666666666,0.37083333333333335,NA,4,0
84010,2020-03-25,covid_2020,COVID-19,2020-03-15,2020-03-25,10,0,0.4658333333333333,0.00583333333333333,8.333333333333334e-4,0.33416666666666667,0.5808333333333333,0.00583333333333333,8.333333333333334e-4,0.42916666666666664,NA,NA,0.1975,0.11333333333333331,0.37916666666666665,NA,6,0
